TORNEO FEDERAL A 2026 — Carga de Resultados,,,,,,,,,,,,,
N° Partido,Fecha,Fase,Día,Zona,Local,GF,GC,Visitante,Resultado,PTS Local,PTS Visit.,Árbitro,Penales
190,12,1F-RR2,,1,Gimn. Chivilcoy,,,Independiente (Chi),,,,,
191,12,1F-RR2,,1,Gimn. Concepción,,,Sp. Belgrano,,,,,
192,12,1F-RR2,,1,Def. Villa Ramallo,,,Douglas Haig,,,,,
193,12,1F-RR2,,2,Sarmiento (LB),,,Sol de América,,,,,
194,12,1F-RR2,,2,Bartolomé Mitre,,,Sarmiento (R),,,,,
195,12,1F-RR2,,2,Def. Vilelas,,,Boca Unidos,,,,,
196,12,1F-RR2,,2,San Martín (For),,,Tucumán Central,,,,,
197,12,1F-RR2,,3,Argentino MM,,,Dvo. Rincón,,,,,
198,12,1F-RR2,,3,Juv. Unida (SL),,,Costa Brava,,,,,
199,12,1F-RR2,,3,Cipolletti,,,Huracán (LH),,,,,
200,12,1F-RR2,,3,Atenas (RC),,,San Martín (Mdza),,,,,
201,12,1F-RR2,,4,Germinal,,,Círculo Dep.,,,,,
202,12,1F-RR2,,4,Santamarina,,,Kimberley,,,,,
203,12,1F-RR2,,4,Alvarado,,,Sol de Mayo,,,,,
204,12,1F-RR2,,4,Olimpo,,,Gmo. Brown,,,,,
205,13,1F-RR2,,1,El Linqueño,,,Douglas Haig,,,,,
206,13,1F-RR2,,1,Sp. Belgrano,,,Def. Villa Ramallo,,,,,
207,13,1F-RR2,,1,Independiente (Chi),,,Gimn. Concepción,,,,,
208,13,1F-RR2,,1,Sp. Las Parejas,,,Gimn. Chivilcoy,,,,,
209,13,1F-RR2,,1,Escobar FC,,,9 de Julio (R),,,,,
210,13,1F-RR2,,2,Boca Unidos,,,San Martín (For),,,,,
211,13,1F-RR2,,2,Sarmiento (R),,,Def. Vilelas,,,,,
212,13,1F-RR2,,2,Sol de América,,,Bartolomé Mitre,,,,,
213,13,1F-RR2,,2,Juv. Antoniana,,,Sarmiento (LB),,,,,
214,13,1F-RR2,,3,Huracán (LH),,,Atenas (RC),,,,,
215,13,1F-RR2,,3,Costa Brava,,,Cipolletti,,,,,
216,13,1F-RR2,,3,Dvo. Rincón,,,Juv. Unida (SL),,,,,
217,13,1F-RR2,,3,FADEP,,,Argentino MM,,,,,
218,13,1F-RR2,,4,Sol de Mayo,,,Olimpo,,,,,
219,13,1F-RR2,,4,Kimberley,,,Alvarado,,,,,
220,13,1F-RR2,,4,Círculo Dep.,,,Santamarina,,,,,
221,13,1F-RR2,,4,Villa Mitre,,,Germinal,,,,,
222,14,1F-RR2,,1,9 de Julio (R),,,El Linqueño,,,,,
223,14,1F-RR2,,1,Gimn. Chivilcoy,,,Escobar FC,,,,,
224,14,1F-RR2,,1,Gimn. Concepción,,,Sp. Las Parejas,,,,,
225,14,1F-RR2,,1,Def. Villa Ramallo,,,Independiente (Chi),,,,,
226,14,1F-RR2,,1,Douglas Haig,,,Sp. Belgrano,,,,,
227,14,1F-RR2,,2,Bartolomé Mitre,,,Juv. Antoniana,,,,,
228,14,1F-RR2,,2,Def. Vilelas,,,Sol de América,,,,,
229,14,1F-RR2,,2,San Martín (For),,,Sarmiento (R),,,,,
230,14,1F-RR2,,2,Tucumán Central,,,Boca Unidos,,,,,
231,14,1F-RR2,,3,Juv. Unida (SL),,,FADEP,,,,,
232,14,1F-RR2,,3,Cipolletti,,,Dvo. Rincón,,,,,
233,14,1F-RR2,,3,Atenas (RC),,,Costa Brava,,,,,
234,14,1F-RR2,,3,San Martín (Mdza),,,Huracán (LH),,,,,
235,14,1F-RR2,,4,Santamarina,,,Villa Mitre,,,,,
236,14,1F-RR2,,4,Alvarado,,,Círculo Dep.,,,,,
237,14,1F-RR2,,4,Olimpo,,,Kimberley,,,,,
238,14,1F-RR2,,4,Gmo. Brown,,,Sol de Mayo,,,,,
239,15,1F-RR2,,1,El Linqueño,,,Sp. Belgrano,,,,,
240,15,1F-RR2,,1,Independiente (Chi),,,Douglas Haig,,,,,
241,15,1F-RR2,,1,Sp. Las Parejas,,,Def. Villa Ramallo,,,,,
242,15,1F-RR2,,1,Escobar FC,,,Gimn. Concepción,,,,,
243,15,1F-RR2,,1,9 de Julio (R),,,Gimn. Chivilcoy,,,,,
244,15,1F-RR2,,2,Sarmiento (R),,,Tucumán Central,,,,,
245,15,1F-RR2,,2,Sol de América,,,San Martín (For),,,,,
246,15,1F-RR2,,2,Juv. Antoniana,,,Def. Vilelas,,,,,
247,15,1F-RR2,,2,Sarmiento (LB),,,Bartolomé Mitre,,,,,
248,15,1F-RR2,,3,Costa Brava,,,San Martín (Mdza),,,,,
249,15,1F-RR2,,3,Dvo. Rincón,,,Atenas (RC),,,,,
250,15,1F-RR2,,3,FADEP,,,Cipolletti,,,,,
251,15,1F-RR2,,3,Argentino MM,,,Juv. Unida (SL),,,,,
252,15,1F-RR2,,4,Kimberley,,,Gmo. Brown,,,,,
253,15,1F-RR2,,4,Círculo Dep.,,,Olimpo,,,,,
254,15,1F-RR2,,4,Villa Mitre,,,Alvarado,,,,,
255,15,1F-RR2,,4,Germinal,,,Santamarina,,,,,
256,16,1F-RR2,,1,Gimn. Chivilcoy,,,El Linqueño,,,,,
257,16,1F-RR2,,1,Gimn. Concepción,,,9 de Julio (R),,,,,
258,16,1F-RR2,,1,Def. Villa Ramallo,,,Escobar FC,,,,,
259,16,1F-RR2,,1,Douglas Haig,,,Sp. Las Parejas,,,,,
260,16,1F-RR2,,1,Sp. Belgrano,,,Independiente (Chi),,,,,
261,16,1F-RR2,,2,Def. Vilelas,,,Sarmiento (LB),,,,,
262,16,1F-RR2,,2,San Martín (For),,,Juv. Antoniana,,,,,
263,16,1F-RR2,,2,Tucumán Central,,,Sol de América,,,,,
264,16,1F-RR2,,2,Boca Unidos,,,Sarmiento (R),,,,,
265,16,1F-RR2,,3,Cipolletti,,,Argentino MM,,,,,
266,16,1F-RR2,,3,Atenas (RC),,,FADEP,,,,,
267,16,1F-RR2,,3,San Martín (Mdza),,,Dvo. Rincón,,,,,
268,16,1F-RR2,,3,Huracán (LH),,,Costa Brava,,,,,
269,16,1F-RR2,,4,Alvarado,,,Germinal,,,,,
270,16,1F-RR2,,4,Olimpo,,,Villa Mitre,,,,,
271,16,1F-RR2,,4,Gmo. Brown,,,Círculo Dep.,,,,,
272,16,1F-RR2,,4,Sol de Mayo,,,Kimberley,,,,,
273,17,1F-RR2,,1,El Linqueño,,,Independiente (Chi),,,,,
274,17,1F-RR2,,1,Sp. Las Parejas,,,Sp. Belgrano,,,,,
275,17,1F-RR2,,1,Escobar FC,,,Douglas Haig,,,,,
276,17,1F-RR2,,1,9 de Julio (R),,,Def. Villa Ramallo,,,,,
277,17,1F-RR2,,1,Gimn. Chivilcoy,,,Gimn. Concepción,,,,,
278,17,1F-RR2,,2,Sol de América,,,Boca Unidos,,,,,
279,17,1F-RR2,,2,Juv. Antoniana,,,Tucumán Central,,,,,
280,17,1F-RR2,,2,Sarmiento (LB),,,San Martín (For),,,,,
281,17,1F-RR2,,2,Bartolomé Mitre,,,Def. Vilelas,,,,,
282,17,1F-RR2,,3,Dvo. Rincón,,,Huracán (LH),,,,,
283,17,1F-RR2,,3,FADEP,,,San Martín (Mdza),,,,,
284,17,1F-RR2,,3,Argentino MM,,,Atenas (RC),,,,,
285,17,1F-RR2,,3,Juv. Unida (SL),,,Cipolletti,,,,,
286,17,1F-RR2,,4,Círculo Dep.,,,Sol de Mayo,,,,,
287,17,1F-RR2,,4,Villa Mitre,,,Gmo. Brown,,,,,
288,17,1F-RR2,,4,Germinal,,,Olimpo,,,,,
289,17,1F-RR2,,4,Santamarina,,,Alvarado,,,,,
290,18,1F-RR2,,1,Gimn. Concepción,,,El Linqueño,,,,,
291,18,1F-RR2,,1,Def. Villa Ramallo,,,Gimn. Chivilcoy,,,,,
292,18,1F-RR2,,1,Douglas Haig,,,9 de Julio (R),,,,,
293,18,1F-RR2,,1,Sp. Belgrano,,,Escobar FC,,,,,
294,18,1F-RR2,,1,Independiente (Chi),,,Sp. Las Parejas,,,,,
295,18,1F-RR2,,2,San Martín (For),,,Bartolomé Mitre,,,,,
296,18,1F-RR2,,2,Tucumán Central,,,Sarmiento (LB),,,,,
297,18,1F-RR2,,2,Boca Unidos,,,Juv. Antoniana,,,,,
298,18,1F-RR2,,2,Sarmiento (R),,,Sol de América,,,,,
299,18,1F-RR2,,3,Atenas (RC),,,Juv. Unida (SL),,,,,
300,18,1F-RR2,,3,San Martín (Mdza),,,Argentino MM,,,,,
301,18,1F-RR2,,3,Huracán (LH),,,FADEP,,,,,
302,18,1F-RR2,,3,Costa Brava,,,Dvo. Rincón,,,,,
303,18,1F-RR2,,4,Olimpo,,,Santamarina,,,,,
304,18,1F-RR2,,4,Gmo. Brown,,,Germinal,,,,,
305,18,1F-RR2,,4,Sol de Mayo,,,Villa Mitre,,,,,
306,18,1F-RR2,,4,Kimberley,,,Círculo Dep.,,,,,
